DEPT,DT4P,LLD,NPHI,PEF,RHOB,GR,DT4S,WELL
1000.0,77.401,16.02,0.214,3.155,2.305,54.677,114.35,SAWAN-08
1000.5,66.277,11.396,0.235,3.249,2.346,69.199,112.449,SAWAN-08
1001.0,79.637,18.356,0.26,3.405,2.349,53.098,117.754,SAWAN-08
1001.5,77.272,15.844,0.178,3.102,2.426,58.969,117.024,SAWAN-08
1002.0,69.448,23.04,0.215,3.33,2.293,51.319,109.711,SAWAN-08
1002.5,72.642,15.733,0.279,3.134,2.202,49.955,108.698,SAWAN-08
1003.0,76.319,7.027,0.19,3.171,2.405,42.646,108.738,SAWAN-08
1003.5,75.262,11.9,0.187,3.407,2.293,57.164,115.393,SAWAN-08
1004.0,73.539,8.083,0.228,2.702,2.409,41.782,104.143,SAWAN-08
1004.5,74.483,10.161,0.254,2.876,2.351,59.987,117.002,SAWAN-08
1005.0,73.74,20.675,0.22,2.829,2.31,65.023,118.108,SAWAN-08
1005.5,75.763,15.228,0.273,2.617,2.348,56.398,113.072,SAWAN-08
1006.0,82.357,9.539,0.254,3.03,2.476,48.565,113.565,SAWAN-08
1006.5,62.167,8.544,0.254,3.387,2.486,57.448,102.915,SAWAN-08
1007.0,73.816,12.323,0.242,3.129,2.326,48.296,106.421,SAWAN-08
1007.5,75.883,7.958,0.313,3.249,2.333,63.227,118.15,SAWAN-08
1008.0,76.48,9.632,0.212,3.472,2.406,30.023,99.345,SAWAN-08
1008.5,73.14,13.588,0.14,3.532,2.252,47.973,110.788,SAWAN-08
1009.0,66.216,18.254,0.284,3.183,2.347,28.11,87.948,SAWAN-08
1009.5,76.64,15.075,0.202,3.538,2.318,34.059,102.561,SAWAN-08
1010.0,83.637,5.463,0.224,3.223,2.345,68.366,124.821,SAWAN-08
1010.5,67.331,13.552,0.272,2.991,2.253,62.742,110.378,SAWAN-08
1011.0,79.319,12.494,0.156,3.051,2.193,43.366,112.365,SAWAN-08
1011.5,73.357,14.081,0.17,2.83,2.154,33.97,102.044,SAWAN-08
1012.0,74.693,21.449,0.156,2.978,2.231,16.426,93.536,SAWAN-08
1012.5,69.736,5.917,0.188,3.11,2.283,45.478,103.644,SAWAN-08
1013.0,73.328,9.906,0.238,3.401,2.297,81.045,126.398,SAWAN-08
1013.5,81.5,14.982,0.241,3.63,2.475,57.219,117.457,SAWAN-08
1014.0,77.913,7.004,0.231,2.854,2.408,45.285,110.132,SAWAN-08
1014.5,83.662,20.421,0.163,3.298,2.243,57.581,124.473,SAWAN-08
1015.0,80.887,13.859,0.128,2.94,2.348,33.268,107.477,SAWAN-08
1015.5,77.195,16.384,0.222,3.319,2.287,48.432,112.817,SAWAN-08
1016.0,83.72,9.976,0.201,3.167,2.297,53.194,120.051,SAWAN-08
1016.5,77.195,16.197,0.238,2.742,2.335,50.967,115.616,SAWAN-08
1017.0,79.14,17.707,0.248,3.432,2.37,61.49,120.013,SAWAN-08
1017.5,73.517,13.217,0.226,3.049,2.293,56.136,112.591,SAWAN-08
1018.0,75.333,13.224,0.25,3.067,2.405,60.02,114.57,SAWAN-08
1018.5,71.513,13.391,0.229,2.933,2.229,43.74,103.649,SAWAN-08
1019.0,79.948,9.005,0.241,3.036,2.321,62.774,119.611,SAWAN-08
1019.5,69.108,11.569,0.192,3.307,2.528,71.547,115.105,SAWAN-08
